,brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
151,alcatel,Pixi 3 (7),Android,512,80.0,False,Li-Ion,2820,4,1.3,2,VGA,4
152,alcatel,POP 10,Android,1,250.0,False,Li-Ion,4600,4,1.2,5,2,8
154,alcatel,Pixi 3 (4.5),Android,512,60.0,True,Li-Ion,1400,2,1.0,5,VGA,4
155,alcatel,Pixi 3 (4),Android,512,50.0,True,Li-Ion,1400,2,1.0,2,VGA,4
156,alcatel,Pixi 3 (3.5) Firefox,Firefox,256/512,40.0,True,Li-Ion,1300,2,1.0,2,VGA,512
165,alcatel,Pop 2 (4.5) Dual SIM,Android,1,180.0,True,Li-Ion,2000,4,1.2,5,VGA,8
166,alcatel,Pop 2 (4.5),Android,1,130.0,True,Li-Ion,2000,4,1.2,5,VGA,8
169,alcatel,POP 8S,Android,1,250.0,False,Li-Ion,4100,4,1.2,5,3,8
170,alcatel,Hero 8,Android,2,280.0,False,Li-Ion,4060,8,2.0,5,2,8
171,alcatel,Hero 2,Android,2,460.0,False,Li-Ion,3100,8,2.0,13.1,5,16
181,alcatel,POP 7S,Android,1,190.0,False,Li-Ion,3240,4,1.2,3,VGA,4
197,alcatel,Idol X+,Android,2,290.0,False,Li-Ion,2500,8,2.0,13.1,2,16
200,alcatel,POP 7,Android,1,160.0,False,Li-Ion,3240,2,1.3,2,VGA,4
201,alcatel,Fierce,Android,1,110.0,True,Li-Ion,1800,4,1.2,5,VGA,4
202,alcatel,Evolve,Android,512,70.0,True,Li-Ion,1400,1,1.0,5,VGA,4
205,alcatel,Pop C3,Android,512,80.0,True,Li-Ion,1300,2,1.3,5,VGA,4
207,alcatel,Idol Alpha,Android,1,360.0,False,Li-Ion,2000,4,1.2,13,1.3,16
209,alcatel,Hero,Android,2,370.0,False,Li-Ion,3400,4,1.5,13,2,8
210,alcatel,Idol S,Android,1,160.0,False,Li-Ion,2000,2,1.2,8,1.3,4
211,alcatel,Idol Mini,Android,512,130.0,False,Li-Ion,1700,2,1.3,5,Yes,4
212,alcatel,One Touch T10,Android,1,130.0,False,Li-Ion,3000,1,1.0,VGA,No,4
216,alcatel,Idol X,Android,2,370.0,False,Li-Ion,2000,4,1.5,13.1,2.1,8
217,alcatel,One Touch Fire,Firefox,512,120.0,True,Li-Ion,1400,1,1.0,3.15,No,160
218,alcatel,One Touch Star,Android,512,220.0,True,Li-Ion,1500,2,1.0,5,VGA,4
219,alcatel,One Touch Scribe Easy,Android,512,170.0,True,Li-Ion,2500,2,1.2,5,VGA,4
225,alcatel,One Touch Idol Ultra,Android,1,270.0,False,Li-Ion,1800,2,1.2,8,1.3,16
226,alcatel,One Touch Idol,Android,1,230.0,False,Li-Ion,1800,2,1.0,8,2,4
227,alcatel,One Touch T'Pop,Android,256,100.0,True,Li-Ion,1400,1,1.0,2,No,512
229,alcatel,One Touch M'Pop,Android,512,140.0,True,Li-Ion,1400,1,1.0,5,VGA,4
230,alcatel,One Touch X'Pop,Android,512,150.0,True,Li-Ion,1800,2,1.0,5,VGA,4
231,alcatel,One Touch Scribe HD-LTE,Android,1,350.0,True,Li-Ion,2500,4,1.2,8,1.3,4
232,alcatel,One Touch Scribe X,Android,1,620.0,True,Li-Ion,2500,4,1.2,12,1,4
233,alcatel,One Touch Scribe HD,Android,1,220.0,True,Li-Ion,2500,4,1.2,8,Yes,4
236,alcatel,OT-997D,Android,1,280.0,True,Li-Ion,1800,2,1.0,8,VGA,4
237,alcatel,OT-997,Android,1,250.0,True,Li-Ion,1800,2,1.0,8,VGA,4
246,alcatel,OT-986,Android,1,250.0,True,Li-Ion,1800,2,1.5,5,2,8
263,alcatel,OT-985,Android,256,110.0,True,Li-Ion,1300,1,0.65,3.15,VGA,512
267,alcatel,OT-995,Android,512,220.0,True,Li-Ion,1500,1,1.4,5,VGA,2
275,alcatel,OT-918,Android,256,100.0,True,Li-Ion,1300,1,0.65,3.15,No,512
276,alcatel,OT-918D,Android,256,130.0,True,Li-Ion,1300,1,0.65,3.15,No,512
462,Allview,X4 Soul,Android,4,420.0,False,Li-Po,3000,8,2.0,Dual,13,64
479,Allview,X3 Soul Pro,Android,4,450.0,False,Li-Po,3000,8,2.0,16,8,64
481,Allview,P8 Energy Pro,Android,3,420.0,False,Li-Po,5020,8,1.3,13,5,64
485,Allview,X3 Soul,Android,3,300.0,False,Li-Po,3150,8,1.3,13,5,32
486,Allview,X2 Soul Style + Platinum,Android,3,200.0,False,Li-Po,2350,4,1.3,13,5,16
487,Allview,X2 Soul Style,Android,2,180.0,False,Li-Po,2350,4,1.3,13,5,16
488,Allview,X2 Soul Lite,Android,1,160.0,True,Li-Po,2400,4,1.3,8,5,16
489,Allview,V2 Viper X+,Android,3,300.0,True,Li-Po,3150,8,1.3,13,5,16
490,Allview,V2 Viper X,Android,1,250.0,True,Li-Po,3150,8,1.3,13,5,16
491,Allview,V2 Viper,Android,1,200.0,True,Li-Ion,2000,4,1.3,8,5,16
492,Allview,V2 Viper i,Android,1,120.0,True,Li-Ion,2000,4,1.3,5,2,16
493,Allview,P8 Energy mini,Android,2,170.0,True,Li-Ion,4000,4,1.3,8,5,16
494,Allview,P5 Pro,Android,1,130.0,True,Li-Ion,1700,4,1.0,5,VGA,8
497,Allview,P6 Pro,Android,1,100.0,False,Li-Ion,3140,4,1.0,8,5,8
498,Allview,P8 Energy,Android,2,300.0,False,Li-Po,6000,4,1.3,13,5,16
499,Allview,P5 Energy,Android,1,140.0,True,Li-Po,4000,4,1.0,5,2,16
500,Allview,E4,Android,2,240.0,True,Li-Po,2100,8,1.3,13,5,16
502,Allview,E3 Living,Android,1,140.0,True,Li-Ion,1850,4,1.0,8,2,8
516,Allview,X2 Xtreme,Android,3,490.0,False,Li-Po,3500,8,2.0,24,8,64
518,Allview,C5 Smiley,Android,512,80.0,True,Li-Ion,1400,2,1.3,3.15,VGA,4
