model,RAM,approx_price_EUR,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb,brand,OS,battery_removable,battery_type,cluster
One Touch T10,1.0,130.0,3000.0,1,1.0,0.6,0.0,4.0,57,0,0,0,2
Idol X,2.0,370.0,2000.0,4,1.5,13.1,2.1,16.0,57,0,0,0,0
One Touch Star,0.512,220.0,1500.0,2,1.0,5.0,0.6,4.0,57,0,1,0,0
One Touch Scribe Easy,0.512,170.0,2500.0,2,1.2,5.0,0.6,4.0,57,0,1,0,0
One Touch Idol Ultra,1.0,270.0,1800.0,2,1.2,8.0,1.3,16.0,57,0,0,0,0
One Touch X'Pop,0.512,150.0,1800.0,2,1.0,5.0,0.6,4.0,57,0,1,0,0
One Touch Scribe HD-LTE,1.0,350.0,2500.0,4,1.2,8.0,1.3,4.0,57,0,1,0,0
One Touch Scribe X,1.0,620.0,2500.0,4,1.2,12.0,1.0,4.0,57,0,1,0,0
OT-997D,1.0,280.0,1800.0,2,1.0,8.0,0.6,4.0,57,0,1,0,0
OT-997,1.0,250.0,1800.0,2,1.0,8.0,0.6,4.0,57,0,1,0,0
OT-986,1.0,250.0,1800.0,2,1.5,5.0,2.0,8.0,57,0,1,0,0
OT-995,0.512,220.0,1500.0,1,1.4,5.0,0.6,2.0,57,0,1,0,0
X4 Soul,4.0,420.0,3000.0,8,2.0,13.0,13.0,64.0,1,0,0,1,2
X3 Soul Pro,4.0,450.0,3000.0,8,2.0,16.0,8.0,64.0,1,0,0,1,2
P8 Energy Pro,3.0,420.0,5020.0,8,1.3,13.0,5.0,64.0,1,0,0,1,2
X3 Soul,3.0,300.0,3150.0,8,1.3,13.0,5.0,32.0,1,0,0,1,2
X2 Soul Style + Platinum,3.0,200.0,2350.0,4,1.3,13.0,5.0,16.0,1,0,0,1,0
X2 Soul Style,2.0,180.0,2350.0,4,1.3,13.0,5.0,16.0,1,0,0,1,0
X2 Soul Lite,1.0,160.0,2400.0,4,1.3,8.0,5.0,16.0,1,0,1,1,0
V2 Viper X+,3.0,300.0,3150.0,8,1.3,13.0,5.0,16.0,1,0,1,1,2
V2 Viper X,1.0,250.0,3150.0,8,1.3,13.0,5.0,16.0,1,0,1,1,2
V2 Viper,1.0,200.0,2000.0,4,1.3,8.0,5.0,16.0,1,0,1,0,0
V2 Viper i,1.0,120.0,2000.0,4,1.3,5.0,2.0,16.0,1,0,1,0,0
P8 Energy mini,2.0,170.0,4000.0,4,1.3,8.0,5.0,16.0,1,0,1,0,2
P5 Pro,1.0,130.0,1700.0,4,1.0,5.0,0.6,8.0,1,0,1,0,0
P6 Pro,1.0,100.0,3140.0,4,1.0,8.0,5.0,8.0,1,0,0,0,2
P8 Energy,2.0,300.0,6000.0,4,1.3,13.0,5.0,16.0,1,0,0,1,1
P5 Energy,1.0,140.0,4000.0,4,1.0,5.0,2.0,16.0,1,0,1,1,2
E4,2.0,240.0,2100.0,8,1.3,13.0,5.0,16.0,1,0,1,1,0
E3 Living,1.0,140.0,1850.0,4,1.0,8.0,2.0,8.0,1,0,1,0,0
X2 Xtreme,3.0,490.0,3500.0,8,2.0,24.0,8.0,64.0,1,0,0,1,2
C5 Smiley,0.512,80.0,1400.0,2,1.3,3.15,0.6,4.0,1,0,1,0,0
C6 Quad 4G,1.0,140.0,1800.0,4,1.3,5.0,0.6,8.0,1,0,1,0,0
E2 Living,0.512,90.0,1350.0,2,1.3,3.15,0.6,4.0,1,0,1,1,0
Twin X2,1.0,230.0,1920.0,8,1.4,8.0,2.0,8.0,1,0,0,1,0
P7 Seon,1.0,230.0,2400.0,6,1.5,8.0,2.0,8.0,1,0,1,0,0
X1 Xtreme Mini,2.0,300.0,2200.0,4,2.15,16.0,4.0,16.0,1,0,0,1,0
X2 Soul Mini,1.0,230.0,2050.0,8,1.7,8.0,5.0,16.0,1,0,0,0,0
Impera M,0.512,90.0,1420.0,4,1.2,5.0,0.6,4.0,1,2,1,0,0
Impera S,1.0,170.0,2000.0,4,1.2,8.0,2.0,8.0,1,2,1,0,0
Impera i,1.0,160.0,1750.0,4,1.2,8.0,2.0,8.0,1,2,1,1,0
A6 Quad,0.512,130.0,1500.0,4,1.2,5.0,0.6,4.0,1,0,1,0,0
X2 Soul,2.0,340.0,2300.0,8,1.7,13.0,5.0,16.0,1,0,0,0,0
X1 Xtreme,3.0,470.0,2500.0,4,2.15,16.0,8.0,32.0,1,0,0,1,0
V1 Viper S,2.0,310.0,2500.0,4,1.4,13.0,5.0,16.0,1,0,1,0,0
Viva Q7 Life,1.0,90.0,3000.0,4,1.0,0.6,0.0,8.0,1,0,0,1,2
City Life,0.512,70.0,3000.0,2,1.5,0.6,0.0,8.0,1,0,0,1,2
2 Speed Quad,1.0,120.0,4400.0,4,1.0,2.0,0.6,8.0,1,0,0,1,2
City+,0.512,80.0,3000.0,2,1.5,0.6,0.0,8.0,1,0,0,1,2
Viva H8,1.0,190.0,4000.0,4,1.2,5.0,2.0,8.0,1,0,0,1,2
Viva Q8,1.0,150.0,4000.0,4,1.0,5.0,0.6,8.0,1,0,0,1,2
P6 Quad Plus,1.0,220.0,2100.0,4,1.5,8.0,1.0,4.0,1,0,1,1,0
A5 Quad,0.512,130.0,1700.0,4,1.3,5.0,0.6,4.0,1,0,1,0,0
P5 Symbol,0.512,160.0,1700.0,2,1.2,5.0,0.6,4.0,1,0,1,0,0
X1 Soul Mini,1.0,270.0,3000.0,4,1.5,8.0,2.0,16.0,1,0,0,1,2
X1 Soul,2.0,360.0,2000.0,4,1.5,13.0,5.0,32.0,1,0,0,1,0
A5 Duo,0.512,100.0,1700.0,2,1.2,3.15,0.6,4.0,1,0,1,0,0
H2 Qubo,0.512,120.0,1800.0,4,1.2,5.0,0.6,4.0,1,0,1,0,0
Viper i V1,1.0,200.0,1800.0,4,1.3,8.0,2.0,8.0,1,0,1,0,0
Viper V1,1.0,230.0,1800.0,4,1.2,8.0,2.0,16.0,1,0,1,0,0
P5 Qmax,1.0,230.0,3000.0,4,1.2,8.0,1.0,4.0,1,0,1,0,2
P5 Quad,1.0,170.0,2100.0,4,1.2,8.0,1.0,4.0,1,0,1,0,0
P6 Stony,1.0,200.0,2100.0,2,1.0,8.0,1.0,4.0,1,0,0,1,0
P4 Duo,0.512,180.0,1600.0,2,1.0,8.0,0.6,4.0,1,0,1,0,0
P5 Mini,0.512,90.0,1700.0,1,1.0,3.15,0.6,4.0,1,0,1,0,0
P4 AllDro,0.512,200.0,1600.0,1,1.0,8.0,0.6,4.0,1,0,1,0,0
Fire Phone,2.0,160.0,2400.0,4,2.2,13.0,2.1,64.0,2,0,0,0,0
iPad 9.7,2.0,390.0,8827.0,2,1.84,8.0,1.2,128.0,3,3,0,0,1
iPhone 7 Plus,3.0,900.0,2900.0,4,2.34,12.0,7.0,256.0,3,3,0,0,2
iPhone SE,2.0,440.0,1624.0,2,1.84,12.0,1.2,128.0,3,3,0,1,0
iPhone 6s Plus,2.0,750.0,2750.0,2,1.84,12.0,5.0,128.0,3,3,0,0,2
iPhone 6s,2.0,620.0,1715.0,2,1.84,12.0,5.0,128.0,3,3,0,0,0
iPad Pro,4.0,850.0,10.0,2,2.26,8.0,1.2,256.0,3,3,0,0,0
iPad mini 4,2.0,360.0,5124.0,2,1.5,8.0,1.2,128.0,3,3,0,0,2
iPad Air 2,2.0,440.0,7340.0,3,1.5,8.0,1.2,128.0,3,3,0,1,1
iPad mini 3,1.0,400.0,6470.0,2,1.3,5.0,1.2,128.0,3,3,0,1,1
iPhone 6 Plus,1.0,700.0,2915.0,2,1.4,8.0,1.2,128.0,3,3,0,1,2
iPhone 6,1.0,540.0,1810.0,2,1.4,8.0,1.2,128.0,3,3,0,1,0
iPad Air,1.0,350.0,8600.0,2,1.3,5.0,1.2,128.0,3,3,0,1,1
iPad mini 2,1.0,270.0,6470.0,2,1.3,5.0,1.2,128.0,3,3,0,1,1
iPhone 5s,1.0,330.0,1560.0,2,1.3,8.0,1.2,64.0,3,3,0,1,0
iPhone 5c,1.0,300.0,1510.0,2,1.3,8.0,1.2,32.0,3,3,0,1,0
iPad mini Wi-Fi,0.512,200.0,4490.0,2,1.0,5.0,1.2,64.0,3,3,0,1,2
iPad mini Wi-Fi + Cellular,0.512,300.0,4490.0,2,1.0,5.0,1.2,64.0,3,3,0,1,2
iPad 4 Wi-Fi,1.0,350.0,11560.0,2,1.4,5.0,1.2,128.0,3,3,0,1,1
iPad 4 Wi-Fi + Cellular,1.0,500.0,11560.0,2,1.4,5.0,1.2,128.0,3,3,0,1,1
iPhone 5,1.0,340.0,1440.0,2,1.3,8.0,1.2,64.0,3,3,0,1,0
iPad 3 Wi-Fi + Cellular,1.0,400.0,11560.0,2,1.0,5.0,0.6,64.0,3,3,0,1,1
iPad 3 Wi-Fi,1.0,290.0,11560.0,2,1.0,5.0,0.6,64.0,3,3,0,1,1
iPhone 4s,0.512,190.0,1432.0,2,1.0,8.0,0.6,64.0,3,3,0,1,0
iPad 2 Wi-Fi + 3G,0.512,370.0,6930.0,2,1.0,0.7,0.6,64.0,3,3,0,1,1
iPad 2 Wi-Fi,0.512,200.0,6930.0,2,1.0,0.7,0.6,64.0,3,3,0,1,1
iPad 2 CDMA,0.512,200.0,6930.0,2,1.0,0.7,0.6,64.0,3,3,0,1,1
iPhone 4,0.512,200.0,1420.0,1,1.0,5.0,0.6,32.0,3,3,0,1,0
55 Graphite,2.0,180.0,3000.0,4,1.5,13.0,5.0,16.0,4,0,0,0,2
50 Graphite,1.0,130.0,2400.0,4,1.5,13.0,5.0,16.0,4,0,0,0,0
Diamond 2 Plus,4.0,250.0,2950.0,8,2.0,20.7,8.0,64.0,4,0,0,0,2
50d Helium 4G,1.0,140.0,2100.0,4,1.2,13.0,5.0,8.0,4,0,1,0,0
50b Helium 4G,1.0,150.0,2000.0,4,1.2,8.0,2.0,8.0,4,0,1,1,0
50 Diamond,2.0,200.0,2700.0,8,1.5,16.0,8.0,16.0,4,0,0,1,0
40 Cesium,0.512,80.0,1700.0,4,1.2,5.0,2.0,4.0,4,2,1,0,0
80 Helium 4G,1.0,280.0,3500.0,4,1.2,5.0,2.0,8.0,4,0,1,0,2
64 Xenon,1.0,240.0,2800.0,4,1.3,8.0,2.0,4.0,4,0,1,0,2
50c Oxygen,1.0,240.0,2000.0,8,1.7,8.0,2.0,8.0,4,0,1,0,0
50 Helium 4G,1.0,280.0,2000.0,4,1.2,8.0,2.0,8.0,4,0,1,0,0
45 Helium 4G,1.0,230.0,1850.0,4,1.2,5.0,0.6,4.0,4,0,1,0,0
Zenfone Live ZB501KL,2.0,150.0,2650.0,4,1.2,13.0,5.0,32.0,5,0,0,0,0
Zenfone 3s Max ZC521TL,3.0,230.0,5000.0,8,1.5,13.0,8.0,32.0,5,0,0,1,2
Zenpad 3S 10 Z500KL,4.0,450.0,7800.0,6,1.4,8.0,5.0,32.0,5,0,0,1,1
Zenfone 3 Zoom ZE553KL,4.0,550.0,5000.0,8,2.0,12.0,13.0,128.0,5,0,0,0,2
Zenpad 3 8.0 Z581KL,4.0,390.0,4680.0,6,1.4,8.0,2.0,32.0,5,0,0,1,2
Zenfone Go ZB500KL,2.0,130.0,2600.0,4,1.2,13.0,5.0,16.0,5,0,1,0,0
Zenfone 3 Deluxe 5.5 ZS550KL,4.0,440.0,3000.0,8,2.0,16.0,8.0,64.0,5,0,0,0,2
Zenpad Z10 ZT500KL,3.0,360.0,7800.0,6,1.4,8.0,5.0,32.0,5,0,0,1,1
Zenfone Go ZB450KL,1.0,110.0,2070.0,4,1.2,8.0,2.0,8.0,5,0,1,1,0
Zenfone Go ZB452KG,1.0,90.0,2070.0,4,1.2,5.0,0.6,8.0,5,0,1,1,0
Zenfone Go ZB551KL,2.0,150.0,3010.0,4,1.6,8.0,5.0,32.0,5,0,1,0,2
Zenfone Go T500,2.0,110.0,2500.0,4,1.2,8.0,5.0,16.0,5,0,1,1,0
Zenfone Go ZC451TG,1.0,70.0,1600.0,4,1.3,5.0,0.6,8.0,5,0,1,0,0
Live G500TG,2.0,230.0,2070.0,4,1.3,8.0,2.0,16.0,5,0,1,1,0
Zenfone 2 Laser ZE551KL,3.0,180.0,3000.0,8,1.7,13.0,5.0,32.0,5,0,1,1,2
Zenfone Zoom ZX551ML,4.0,500.0,3000.0,4,2.5,13.0,5.0,128.0,5,0,0,1,2
Zenfone Go ZC500TG,2.0,130.0,2070.0,4,1.3,8.0,2.0,16.0,5,0,1,1,0
Zenfone Max ZC550KL,2.0,170.0,5000.0,4,1.2,13.0,5.0,16.0,5,0,0,1,2
Zenfone 2 Deluxe ZE551ML,4.0,500.0,3000.0,4,2.3,13.0,5.0,128.0,5,0,0,1,2
Zenfone 2 Laser ZE601KL,2.0,300.0,3000.0,8,1.7,13.0,5.0,16.0,5,0,1,1,2
Zenfone 2 Laser ZE600KL,2.0,360.0,3000.0,8,1.7,13.0,5.0,16.0,5,0,1,1,2
Zenfone 2 Laser ZE500KL,2.0,210.0,2400.0,4,1.2,13.0,5.0,16.0,5,0,1,1,0
Zenfone 2E,1.0,110.0,2500.0,2,1.6,8.0,2.0,8.0,5,0,0,1,0
Pegasus 2 Plus,3.0,300.0,3030.0,8,1.7,13.0,8.0,32.0,5,0,0,1,2
Zenpad 8.0 Z380KL,1.0,280.0,4000.0,8,0.0,5.0,2.0,8.0,5,0,0,1,2
Zenfone 2 ZE500CL,2.0,180.0,2500.0,2,1.6,8.0,2.0,16.0,5,0,0,1,0
Zenfone 2 ZE550ML,2.0,250.0,3000.0,4,1.8,13.0,5.0,16.0,5,0,0,1,2
Zenfone C ZC451CG,1.0,90.0,2100.0,2,1.2,5.0,0.6,8.0,5,0,1,0,0
Pegasus,2.0,80.0,2500.0,4,1.5,8.0,5.0,16.0,5,0,1,1,0
PadFone X mini,1.0,160.0,2060.0,2,1.6,5.0,2.0,8.0,5,0,1,0,0
Memo Pad 7 ME572CL,2.0,240.0,15.0,4,1.83,5.0,2.0,32.0,5,0,0,0,0
Memo Pad 7 ME572C,2.0,240.0,15.0,4,1.83,5.0,2.0,32.0,5,0,0,1,0
Zenfone 4 A450CG,1.0,100.0,1750.0,2,1.2,8.0,0.6,8.0,5,0,1,1,0
PadFone X,2.0,320.0,2300.0,4,2.3,13.0,2.0,16.0,5,0,0,1,0
PadFone S,2.0,250.0,2300.0,4,2.3,13.0,2.0,16.0,5,0,0,1,0
PadFone Infinity Lite,2.0,510.0,2400.0,4,1.7,13.0,2.0,32.0,5,0,0,1,0
Zenfone 6 A601CG,2.0,200.0,3230.0,2,1.6,13.0,2.0,32.0,5,0,0,1,2
Zenfone 6 A600CG,2.0,250.0,3300.0,2,2.0,13.0,2.0,32.0,5,0,0,1,2
Zenfone 5 A501CG,2.0,120.0,2110.0,2,1.2,8.0,2.0,8.0,5,0,0,1,0
Zenfone 5 A500CG,2.0,130.0,2110.0,2,2.0,8.0,2.0,32.0,5,0,0,1,0
PadFone mini 4G (Intel),1.0,300.0,2060.0,2,1.6,5.0,2.0,8.0,5,0,1,0,0
PadFone mini (Intel),1.0,210.0,1170.0,2,1.6,8.0,2.0,8.0,5,0,0,1,0
PadFone mini,1.0,290.0,1500.0,4,1.4,8.0,2.0,16.0,5,0,1,1,0
PadFone Infinity 2,2.0,730.0,2400.0,4,2.2,13.0,2.0,32.0,5,0,0,1,0
Fonepad 7,1.0,220.0,3950.0,2,1.6,5.0,1.2,32.0,5,0,0,1,2
Fonepad Note FHD6,2.0,350.0,3200.0,2,2.0,8.0,1.2,32.0,5,0,0,1,2
Fonepad,1.0,260.0,4270.0,1,1.2,3.15,1.2,16.0,5,0,0,0,2
PadFone Infinity,2.0,1000.0,2400.0,4,1.7,13.0,2.0,64.0,5,0,0,1,0
Memo Pad ME172V,1.0,110.0,4270.0,1,1.0,1.0,0.0,16.0,5,0,0,1,2
Google Nexus 7 Cellular,1.0,230.0,4325.0,4,1.2,1.2,0.0,32.0,5,0,0,0,2
PadFone 2,2.0,450.0,2140.0,4,1.5,13.0,1.2,64.0,5,0,0,0,0
Google Nexus 7,1.0,150.0,4325.0,4,1.2,1.2,0.0,32.0,5,0,0,0,2
Memo,1.0,170.0,4400.0,2,1.2,5.0,1.2,32.0,5,0,1,1,2
PadFone,1.0,300.0,1520.0,2,1.5,8.0,0.6,64.0,5,0,1,0,0
Zenfone Pegasus 3s,3.0,330.0,5000.0,8,1.5,13.0,8.0,64.0,5,0,0,0,2
T3,1.0,80.0,1840.0,4,1.2,8.0,0.6,4.0,8,0,0,0,0
F5,2.0,100.0,2520.0,4,1.2,13.0,2.0,16.0,8,0,0,0,0
F3,1.0,200.0,2100.0,4,1.2,13.0,2.0,4.0,8,0,1,0,0
A3,1.0,150.0,2000.0,4,1.2,8.0,2.0,4.0,8,0,1,0,0
KEYone,3.0,600.0,3505.0,8,2.0,12.0,8.0,32.0,9,0,0,0,2
DTEK60,4.0,530.0,3000.0,4,2.15,21.0,8.0,32.0,9,0,0,0,2
DTEK50,3.0,270.0,2610.0,8,1.5,13.0,8.0,16.0,9,0,0,0,0
Priv,3.0,450.0,3410.0,6,1.4,18.0,2.0,32.0,9,0,0,0,2
Leap,2.0,170.0,2800.0,2,1.5,8.0,2.0,16.0,9,1,0,0,2
Porsche Design P'9983,2.0,590.0,2100.0,2,1.5,8.0,2.0,64.0,9,1,1,0,0
Passport,3.0,310.0,3450.0,4,2.26,13.0,2.0,32.0,9,1,0,0,2
Classic,2.0,290.0,2515.0,2,1.5,8.0,2.0,16.0,9,1,0,0,0
Z3,1.5,110.0,2500.0,2,1.2,5.0,1.1,8.0,9,1,0,0,0
Porsche Design P'9982,2.0,390.0,1800.0,2,1.5,8.0,2.0,64.0,9,1,1,0,0
Z30,2.0,180.0,2880.0,2,1.7,8.0,2.0,16.0,9,1,0,0,2
Q5,2.0,150.0,2180.0,2,1.2,5.0,2.0,8.0,9,1,0,0,0
Z10,2.0,230.0,1800.0,2,1.5,8.0,2.0,16.0,9,1,1,0,0
Q10,2.0,170.0,2100.0,2,1.5,8.0,2.0,16.0,9,1,1,0,0
Porsche Design P'9981,0.768,800.0,1230.0,1,1.2,5.0,0.0,8.0,9,1,1,0,0
Torch 9850,0.768,130.0,1230.0,1,1.2,5.0,0.0,4.0,9,1,1,0,0
Playbook,1.0,120.0,5300.0,2,1.0,5.0,3.0,64.0,9,1,0,1,2
Life One X2 Mini,4.0,170.0,3000.0,8,1.4,13.0,8.0,64.0,6,0,0,1,2
Studio M HD,1.0,80.0,2000.0,4,1.3,8.0,2.0,16.0,6,0,1,1,0
Vivo 5,3.0,240.0,3150.0,8,1.3,13.0,5.0,32.0,6,0,0,0,2
Pure XL,3.0,310.0,3500.0,8,2.0,24.0,8.0,64.0,6,0,0,1,2
Studio XL,1.0,110.0,3000.0,4,1.3,8.0,2.0,8.0,6,0,0,0,2
Studio Energy,1.0,140.0,5000.0,4,1.3,8.0,2.0,8.0,6,0,1,0,2
Studio G,0.512,80.0,2000.0,4,1.3,5.0,0.6,4.0,6,0,1,0,0
Studio X,1.0,120.0,2100.0,4,1.3,8.0,2.0,8.0,6,0,1,0,0
Vivo Air,1.0,190.0,2100.0,8,1.7,8.0,5.0,16.0,6,0,0,0,0
Studio 6.0 LTE,2.0,210.0,3200.0,4,1.6,13.0,5.0,16.0,6,0,1,0,2
Studio 5.0 HD LTE,1.0,150.0,2200.0,4,1.2,13.0,5.0,8.0,6,0,1,0,0
Studio 7.0,1.0,130.0,3000.0,2,1.3,5.0,2.0,8.0,6,0,0,1,2
Life Play Mini,0.512,70.0,1400.0,2,1.0,3.15,0.6,4.0,6,0,1,0,0
Win HD,1.0,150.0,2200.0,4,1.2,8.0,2.0,8.0,6,2,1,0,0
Studio 5.0 C HD,1.0,110.0,2000.0,4,1.3,8.0,2.0,4.0,6,0,1,0,0
Studio 5.0 C,0.512,80.0,1800.0,2,1.3,5.0,0.6,4.0,6,0,1,0,0
Vivo IV,2.0,260.0,2300.0,8,1.7,13.0,5.0,16.0,6,0,0,1,0
Life 8,1.0,150.0,2000.0,8,1.7,8.0,2.0,8.0,6,0,1,0,0
Studio 6.0 HD,1.0,180.0,3000.0,4,1.3,8.0,2.0,4.0,6,0,0,1,2
Neo 4.5,0.512,70.0,1800.0,2,1.3,3.15,0.6,4.0,6,0,1,0,0
Studio 5.0 S II,1.0,120.0,2000.0,4,1.3,8.0,2.0,4.0,6,0,1,0,0
Studio 5.0 E,0.512,70.0,2100.0,2,1.0,3.15,0.0,4.0,6,0,1,0,0
Studio 5.5 S,1.0,130.0,2350.0,4,1.3,8.0,2.0,4.0,6,0,1,0,0
Life Pure Mini,1.0,190.0,3000.0,4,1.5,8.0,2.0,16.0,6,0,0,0,2
Vivo 4.8 HD,1.0,160.0,2000.0,4,1.5,8.0,5.0,16.0,6,0,0,0,0
Life View Tab,1.0,360.0,4500.0,4,1.2,5.0,5.0,8.0,6,0,0,0,2
Life Play S,1.0,130.0,1800.0,4,1.3,8.0,5.0,4.0,6,0,0,0,0
Life One X,2.0,210.0,2000.0,4,1.5,13.0,5.0,32.0,6,0,0,0,0
Life One M,1.0,140.0,2000.0,4,1.5,12.0,2.0,4.0,6,0,1,0,0
Life Play X,1.0,200.0,1800.0,4,1.5,8.0,2.0,16.0,6,0,1,0,0
Life Pure,2.0,240.0,2020.0,4,1.5,13.0,5.0,32.0,6,0,0,0,0
Studio 5.0 II,0.512,90.0,2000.0,2,1.3,5.0,0.6,4.0,6,0,1,0,0
Advance 4.0,0.512,80.0,1600.0,2,1.3,5.0,0.6,4.0,6,0,1,0,0
Life Pro,1.0,210.0,2500.0,4,1.5,12.0,5.0,16.0,6,0,1,1,0
Studio 5.5,1.0,120.0,2250.0,4,1.2,5.0,0.6,4.0,6,0,1,0,0
Dash 5.0,0.512,100.0,2000.0,2,1.3,5.0,0.6,4.0,6,0,1,0,0
Dash Music 4.0,0.512,80.0,1500.0,2,1.3,3.15,0.0,4.0,6,0,1,0,0
Dash 4.5,0.512,100.0,2000.0,4,1.2,5.0,0.6,4.0,6,0,1,0,0
Amour,0.512,100.0,1600.0,2,1.0,5.0,0.6,4.0,6,0,1,0,0
Studio 5.3 S,1.0,130.0,2800.0,4,1.2,8.0,2.0,4.0,6,0,1,0,2
Studio 5.0 S,1.0,130.0,2000.0,4,1.2,8.0,2.0,4.0,6,0,1,0,0
Studio 5.0,0.512,100.0,2000.0,2,1.0,5.0,0.6,4.0,6,0,1,0,0
Life View,1.0,230.0,2600.0,4,1.2,12.0,5.0,16.0,6,0,1,0,0
Life One,1.0,230.0,2000.0,4,1.2,13.0,5.0,16.0,6,0,0,0,0
Life Play,1.0,180.0,1800.0,4,1.2,8.0,2.0,4.0,6,0,1,0,0
Studio 5.3 II,0.512,160.0,2200.0,2,1.0,8.0,2.0,4.0,6,0,1,0,0
Tank 4.5,0.512,200.0,1760.0,2,1.0,5.0,0.6,4.0,6,0,1,0,0
Quattro 5.7 HD,1.0,220.0,2800.0,4,1.5,8.0,1.3,4.0,6,0,1,0,2
Quattro 4.5 HD,1.0,260.0,1800.0,4,1.5,8.0,1.3,16.0,6,0,1,0,0
Quattro 4.5,1.0,180.0,1800.0,4,1.5,5.0,0.6,4.0,6,0,1,0,0
Dash 4.0,0.512,90.0,1500.0,2,1.3,5.0,0.6,4.0,6,0,1,0,0
Vivo 4.65 HD,1.0,210.0,1600.0,2,1.2,8.0,1.3,4.0,6,0,1,0,0
Touch Book 9.7,1.0,180.0,6000.0,2,1.5,2.0,2.0,4.0,6,0,0,0,1
Touch Book 7.0 Lite,0.512,70.0,3000.0,1,1.2,0.6,0.0,4.0,6,0,0,0,2
Elite 3.8,0.512,130.0,1600.0,1,1.0,5.0,0.6,1.0,6,0,1,0,0
Vivo 4.3,0.512,170.0,1600.0,2,1.0,8.0,1.3,4.0,6,0,1,0,0
Aquaris X Pro,4.0,370.0,3100.0,8,2.2,12.0,8.0,128.0,7,0,0,0,2
Aquaris X,3.0,290.0,3100.0,8,2.2,16.0,8.0,32.0,7,0,0,0,2
Aquaris U Lite,2.0,160.0,3080.0,4,1.4,8.0,5.0,16.0,7,0,0,1,2
Aquaris U,2.0,190.0,3080.0,8,1.4,13.0,5.0,16.0,7,0,0,1,2
Aquaris X5 Plus,2.0,300.0,3200.0,8,1.8,16.0,8.0,16.0,7,0,0,1,2
Aquaris X5,2.0,230.0,2900.0,4,1.4,13.0,5.0,16.0,7,0,0,1,2
 Aquaris M10,2.0,230.0,7280.0,4,1.3,5.0,2.0,16.0,7,0,0,1,1
G'zOne CA-201L,1.0,270.0,1800.0,2,1.5,8.0,1.3,16.0,10,0,1,0,0
S60,3.0,650.0,3800.0,8,1.2,13.0,5.0,32.0,11,0,0,0,2
S30,1.0,340.0,3000.0,4,1.1,5.0,2.0,8.0,11,0,0,0,2
S40,1.0,440.0,3000.0,4,1.1,8.0,2.0,16.0,11,0,0,0,2
B15 Q,1.0,320.0,2000.0,4,1.3,5.0,0.6,4.0,11,0,1,0,0
S50,2.0,460.0,2630.0,1,1.2,8.0,0.6,8.0,11,0,0,0,0
B15,0.512,250.0,2000.0,2,1.0,5.0,0.6,4.0,11,0,0,0,0
Campus Whizz Q42,0.512,80.0,1400.0,4,1.3,5.0,1.3,4.0,12,0,1,0,0
Note 5 Lite,3.0,120.0,2500.0,4,1.0,13.0,8.0,16.0,13,0,0,0,0
Conjr,3.0,210.0,2500.0,4,1.0,13.0,8.0,16.0,13,0,0,0,0
Mega 3,2.0,110.0,3050.0,4,1.2,8.0,8.0,16.0,13,0,0,1,2
Note 5,4.0,180.0,4010.0,8,1.5,13.0,8.0,64.0,13,0,0,0,2
Modena 2,2.0,180.0,2500.0,4,1.0,8.0,8.0,16.0,13,0,0,0,0
Mega,3.0,80.0,2500.0,4,1.0,8.0,8.0,16.0,13,0,0,0,0
Torino,3.0,200.0,2500.0,8,1.36,13.0,5.0,16.0,13,0,0,0,0
Note 3 Plus,3.0,120.0,3000.0,8,1.3,13.0,5.0,16.0,13,0,0,0,2
Max,4.0,380.0,2800.0,8,1.5,13.0,5.0,64.0,13,0,0,0,2
Porto S,1.0,130.0,2000.0,4,1.0,8.0,2.0,8.0,13,0,0,1,0
Torino S,2.0,180.0,1800.0,4,1.2,8.0,5.0,16.0,13,0,0,0,0
Note 3 Lite,3.0,110.0,2500.0,4,1.3,13.0,5.0,16.0,13,0,0,0,0
Note 3,3.0,120.0,3000.0,8,1.3,13.0,5.0,16.0,13,0,0,0,2
Shine,2.0,200.0,2500.0,8,1.5,13.0,5.0,8.0,13,0,0,0,0
Modena,1.0,160.0,2500.0,4,1.2,8.0,2.0,8.0,13,0,0,0,0
Porto,1.0,150.0,1800.0,4,1.2,8.0,5.0,8.0,13,0,0,0,0
Venue 10 7000,2.0,460.0,7000.0,4,2.3,8.0,2.0,32.0,14,0,0,0,1
Venue 8,2.0,130.0,4100.0,2,2.0,5.0,2.0,32.0,14,0,0,0,2
Venue 7,2.0,100.0,4100.0,2,1.6,3.15,0.6,16.0,14,0,0,0,2
Venue,0.512,390.0,1400.0,1,1.0,8.0,0.0,1.0,14,0,1,0,0
Streak,0.512,190.0,1530.0,1,1.0,5.0,0.6,16.0,14,0,1,0,0
GSmart Essence 4,0.512,60.0,1300.0,2,1.0,2.0,0.6,4.0,15,0,1,0,0
GSmart Classic Lite,0.512,80.0,2100.0,4,1.2,5.0,2.0,8.0,15,0,1,0,0
GSmart Essence,0.512,70.0,1600.0,4,1.2,5.0,2.0,8.0,15,0,1,0,0
GSmart Classic,1.0,100.0,2000.0,4,1.2,8.0,5.0,8.0,15,0,1,0,0
GSmart Mika M2,1.0,190.0,2000.0,4,1.3,13.0,5.0,8.0,15,0,1,0,0
