model,RAM,approx_price_EUR,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb,brand,OS,battery_removable,battery_type,cluster
I9105 Galaxy S II Plus,1.0,210.0,1650.0,2,1.2,8.0,2.0,8.0,41,0,1,0,0
Ativ Odyssey I930,1.0,200.0,2100.0,2,1.5,5.0,1.2,8.0,41,2,1,0,0
Galaxy Grand I9082,1.0,180.0,2100.0,2,1.2,8.0,2.0,8.0,41,0,1,0,0
Galaxy Grand I9080,1.0,210.0,2100.0,2,1.2,8.0,2.0,8.0,41,0,1,0,0
Galaxy Note LTE 10.1 N8020,2.0,390.0,7000.0,4,1.4,5.0,1.9,64.0,41,0,0,0,1
Galaxy Stratosphere II I415,1.0,170.0,1800.0,2,1.2,5.0,1.3,8.0,41,0,1,0,0
Galaxy Discover S730M,0.512,80.0,1300.0,1,0.8,3.15,0.0,4.0,41,0,1,0,0
Galaxy Pop SHV-E220,1.0,110.0,2100.0,4,1.4,8.0,1.9,16.0,41,0,1,0,0
Galaxy Premier I9260,1.0,260.0,2100.0,2,1.5,8.0,1.9,16.0,41,0,1,0,0
Google Nexus 10 P8110,2.0,260.0,9000.0,2,1.7,5.0,1.9,32.0,41,0,0,1,1
Ativ Tab P8510,2.0,440.0,8200.0,2,1.5,5.0,1.9,64.0,41,2,0,0,1
I8190 Galaxy S III mini,1.0,130.0,1500.0,1,1.0,5.0,0.6,16.0,41,0,1,0,0
Galaxy Rugby Pro I547,1.0,150.0,1850.0,2,1.5,5.0,1.3,8.0,41,0,1,0,0
Galaxy Express I437,1.0,160.0,2000.0,2,1.5,5.0,1.3,8.0,41,0,1,0,0
I9305 Galaxy S III,2.0,320.0,2100.0,4,1.4,8.0,1.9,16.0,41,0,1,0,0
Galaxy Victory 4G LTE L300,1.0,150.0,2100.0,2,1.2,5.0,1.3,4.0,41,0,1,0,0
Galaxy S Relay 4G T699,1.0,150.0,1800.0,2,1.5,5.0,1.3,8.0,41,0,1,0,0
Galaxy Note II N7100,2.0,300.0,3100.0,4,1.6,8.0,1.9,64.0,41,0,1,0,2
Galaxy Note II CDMA,2.0,350.0,3100.0,4,1.6,8.0,1.9,16.0,41,0,1,0,2
Ativ S I8750,1.0,220.0,2300.0,2,1.5,8.0,1.9,32.0,41,2,1,0,0
Galaxy Camera GC100,1.0,250.0,1650.0,4,1.4,16.3,0.0,4.0,41,0,1,0,0
Galaxy Rush M830,0.768,100.0,1750.0,1,1.0,3.15,1.3,2.0,41,0,1,0,0
Galaxy Stellar 4G I200,1.0,150.0,2100.0,2,1.2,3.15,1.3,4.0,41,0,1,0,0
Galaxy Reverb M950,0.768,150.0,1700.0,1,1.4,5.0,1.3,4.0,41,0,1,0,0
Galaxy Tab 2 7.0 I705,1.0,200.0,4000.0,2,1.2,3.15,0.6,8.0,41,0,0,0,2
Galaxy Note 10.1 N8000,2.0,320.0,7000.0,4,1.4,5.0,1.9,64.0,41,0,0,0,1
Galaxy Note 10.1 N8010,2.0,350.0,7000.0,4,1.4,5.0,1.9,64.0,41,0,0,0,1
Galaxy S Duos S7562,0.768,110.0,1500.0,1,1.0,5.0,0.6,4.0,41,0,1,0,0
Galaxy Appeal I827,0.512,120.0,1300.0,1,0.8,3.15,0.0,4.0,41,0,1,0,0
Galaxy Tab 8.9 4G P7320T,1.0,220.0,6100.0,2,1.5,3.15,2.0,32.0,41,0,0,1,1
Galaxy S III T999,2.0,310.0,2100.0,2,1.5,8.0,1.9,32.0,41,0,1,0,0
Galaxy S III I747,2.0,300.0,2100.0,2,1.5,8.0,1.9,16.0,41,0,1,0,0
Galaxy S III CDMA,2.0,280.0,2100.0,2,1.5,8.0,1.9,32.0,41,0,1,0,0
I9300 Galaxy S III,1.0,190.0,2100.0,4,1.4,8.0,1.9,64.0,41,0,1,0,0
I8530 Galaxy Beam,0.768,240.0,2000.0,2,1.0,5.0,1.3,8.0,41,0,1,0,0
Galaxy Tab 2 10.1 P5110,1.0,290.0,7000.0,2,1.0,3.15,0.6,32.0,41,0,0,1,1
Galaxy Tab 2 10.1 P5100,1.0,290.0,7000.0,2,1.0,3.15,0.6,32.0,41,0,0,1,1
Rugby Smart I847,0.512,170.0,1650.0,1,1.4,5.0,1.3,4.0,41,0,1,0,0
Galaxy Ace 2 I8160,0.768,130.0,1500.0,2,0.8,5.0,0.6,4.0,41,0,1,0,0
Galaxy mini 2 S6500,0.512,90.0,1300.0,1,0.8,3.15,0.0,4.0,41,0,1,0,0
Galaxy Tab 2 7.0 P3110,1.0,150.0,4000.0,2,1.0,3.15,0.6,32.0,41,0,0,0,2
Galaxy Tab 2 7.0 P3100,1.0,150.0,4000.0,2,1.0,3.15,0.6,32.0,41,0,0,0,2
I9070 Galaxy S Advance,0.768,150.0,1500.0,2,1.0,5.0,1.3,16.0,41,0,1,0,0
Galaxy Nexus I9250M,1.0,240.0,1750.0,2,1.2,5.0,1.3,16.0,41,0,1,0,0
Galaxy S Blaze 4G T769,1.0,140.0,1750.0,2,1.5,5.0,1.3,3.0,41,0,1,0,0
Galaxy Tab 7.7 LTE I815,1.0,280.0,5100.0,2,1.4,3.15,2.0,32.0,41,0,0,0,2
Galaxy Note T879,1.0,350.0,2500.0,2,1.5,8.0,2.0,16.0,41,0,1,0,0
Galaxy Note I717,1.0,350.0,2500.0,2,1.5,8.0,2.0,16.0,41,0,1,0,0
Galaxy Ace Plus S7500,0.512,120.0,1300.0,1,1.0,5.0,0.0,3.0,41,0,1,0,0
I929 Galaxy S II Duos,1.0,190.0,1800.0,2,1.2,8.0,2.0,16.0,41,0,1,0,0
Galaxy S II Skyrocket i727,1.0,180.0,1850.0,2,1.5,8.0,2.0,16.0,41,0,1,0,0
Exhibit II 4G T679,0.512,100.0,1500.0,1,1.0,3.15,0.6,1.0,41,0,1,0,0
Galaxy Nexus i515,1.0,150.0,1850.0,2,1.2,5.0,1.3,32.0,41,0,1,0,0
Galaxy Nexus I9250,1.0,180.0,1750.0,2,1.2,5.0,1.3,16.0,41,0,1,0,0
I9100G Galaxy S II,1.0,220.0,1650.0,2,1.2,8.0,2.0,16.0,41,0,1,0,0
i927 Captivate Glide,1.0,110.0,1650.0,2,1.0,8.0,1.3,8.0,41,0,1,0,0
P6210 Galaxy Tab 7.0 Plus,1.0,260.0,4000.0,2,1.2,3.15,2.0,32.0,41,0,0,0,2
P6200 Galaxy Tab 7.0 Plus,1.0,260.0,4000.0,2,1.2,3.15,2.0,32.0,41,0,0,0,2
Omnia W I8350,0.512,150.0,1500.0,1,1.4,5.0,0.6,8.0,41,2,1,0,0
Galaxy S II HD LTE,1.0,180.0,1850.0,2,1.5,8.0,2.0,16.0,41,0,1,0,0
P6810 Galaxy Tab 7.7,1.0,280.0,5100.0,2,1.4,3.15,2.0,64.0,41,0,0,1,2
P6800 Galaxy Tab 7.7,1.0,280.0,5100.0,2,1.4,3.15,2.0,64.0,41,0,0,1,2
Galaxy Note N7000,1.0,270.0,2500.0,2,1.4,8.0,2.0,32.0,41,0,1,0,0
Galaxy S II I777,1.0,170.0,1650.0,2,1.2,8.0,2.0,32.0,41,0,1,0,0
Galaxy S II T989,1.0,160.0,1850.0,2,1.5,8.0,2.0,32.0,41,0,1,0,0
Galaxy S II Epic 4G Touch,1.0,130.0,1800.0,2,1.2,8.0,2.0,16.0,41,0,1,0,0
Galaxy S II LTE i727R,1.0,160.0,1850.0,2,1.5,8.0,2.0,16.0,41,0,1,0,0
Galaxy S II LTE I9210,1.0,200.0,1850.0,2,1.5,8.0,2.0,16.0,41,0,1,0,0
Galaxy W I8150,0.512,160.0,1500.0,1,1.4,5.0,0.6,2.0,41,0,1,0,0
Galaxy S II 4G I9100M,1.0,260.0,1700.0,2,1.2,8.0,2.0,16.0,41,0,1,0,0
I9103 Galaxy R,1.0,200.0,1650.0,2,1.0,5.0,1.3,8.0,41,0,1,0,0
Exhibit 4G,0.512,200.0,1500.0,1,1.0,3.15,0.6,1.0,41,0,1,0,0
I9001 Galaxy S Plus,0.512,230.0,1650.0,1,1.4,5.0,0.6,16.0,41,0,1,0,0
Google Nexus S I9020A,0.512,270.0,1500.0,1,1.0,5.0,0.6,16.0,41,0,1,0,0
P1010 Galaxy Tab Wi-Fi,0.5920000000000001,150.0,4000.0,1,1.0,3.15,1.3,16.0,41,0,0,1,2
P7500 Galaxy Tab 10.1 3G,1.0,370.0,7000.0,2,1.0,3.15,2.0,64.0,41,0,0,1,1
Galaxy Tab 10.1 LTE I905,1.0,290.0,6800.0,2,1.0,3.15,2.0,32.0,41,0,0,1,1
Galaxy Tab 10.1 P7510,1.0,310.0,7000.0,2,1.0,3.15,2.0,64.0,41,0,0,1,1
Galaxy Tab 8.9 P7300,1.0,290.0,6000.0,2,1.0,3.15,2.0,64.0,41,0,0,1,1
Galaxy Tab 8.9 P7310,1.0,350.0,6000.0,2,1.0,3.15,2.0,64.0,41,0,0,1,1
Google Nexus S 4G,0.512,150.0,1500.0,1,1.0,5.0,0.6,16.0,41,0,1,0,0
I9100 Galaxy S II,1.0,170.0,1650.0,2,1.2,8.0,2.0,32.0,41,0,1,0,0
I9003 Galaxy SL,0.478,150.0,1650.0,1,1.0,5.0,0.6,16.0,41,0,1,0,0
Google Nexus S,0.512,170.0,1500.0,1,1.0,5.0,0.6,16.0,41,0,1,0,0
Galaxy Tab T-Mobile T849,0.64,270.0,4000.0,1,1.0,3.15,1.3,16.0,41,0,0,1,2
P1000 Galaxy Tab,0.512,150.0,4000.0,1,1.0,3.15,1.3,32.0,41,0,0,0,2
Mesmerize i500,0.512,100.0,1500.0,1,1.0,5.0,0.6,2.0,41,0,1,0,0
Vibrant,0.512,150.0,1500.0,1,1.0,5.0,0.0,16.0,41,0,1,0,0
i897 Captivate,0.512,170.0,1500.0,1,1.0,5.0,0.0,16.0,41,0,1,0,0
Galaxy A,0.384,100.0,1500.0,1,0.72,5.0,0.6,1.0,41,0,1,0,0
I9000 Galaxy S,0.512,120.0,1500.0,1,1.0,5.0,0.6,16.0,41,0,1,0,0
I7500 Galaxy,0.128,140.0,1500.0,1,0.528,5.0,0.0,8.0,41,0,1,0,0
Z2,4.0,330.0,3000.0,10,0.0,16.0,8.0,32.0,42,0,0,0,2
MS1,3.0,240.0,2600.0,8,1.3,13.0,13.0,64.0,42,0,0,0,0
Aquos Xx,3.0,340.0,3000.0,8,1.5,13.0,2.1,32.0,42,0,0,0,2
Aquos Crystal,1.5,180.0,2040.0,4,1.2,8.0,1.2,8.0,42,0,0,0,0
SH530U,0.512,320.0,1950.0,2,1.0,5.0,0.6,20.0,42,0,1,0,0
Aquos SH80F,0.512,470.0,1240.0,1,1.0,8.0,0.6,2.0,42,0,1,0,0
XP7,1.0,700.0,4800.0,4,1.2,8.0,1.0,16.0,43,0,0,0,2
XP6,1.0,490.0,4800.0,4,1.2,5.0,0.0,8.0,43,0,0,0,2
Xperia L1,2.0,200.0,2620.0,4,1.45,13.0,5.0,16.0,44,0,0,0,0
Xperia XZ Premium,4.0,750.0,3230.0,8,2.45,19.0,13.0,64.0,44,0,0,0,2
Xperia XA1,3.0,280.0,2300.0,8,2.3,23.0,8.0,32.0,44,0,0,0,0
Xperia X Compact,3.0,370.0,2700.0,6,1.4,23.0,5.0,32.0,44,0,0,0,0
Xperia E5,1.5,150.0,2300.0,4,1.3,13.0,5.0,16.0,44,0,0,1,0
Xperia XA Ultra,3.0,380.0,2700.0,8,2.0,21.5,16.0,16.0,44,0,0,0,0
Xperia XA Dual,2.0,250.0,2300.0,8,2.0,13.0,8.0,16.0,44,0,0,0,0
Xperia XA,2.0,200.0,2300.0,8,2.0,13.0,8.0,16.0,44,0,0,0,0
Xperia Z5 Premium Dual,3.0,510.0,3430.0,8,1.5,23.0,5.1,32.0,44,0,0,0,2
Xperia Z5 Premium,3.0,500.0,3430.0,8,1.5,23.0,5.1,32.0,44,0,0,0,2
Xperia Z5 Dual,3.0,450.0,2900.0,8,1.5,23.0,5.1,32.0,44,0,0,0,2
Xperia Z5,3.0,420.0,2900.0,8,1.5,23.0,5.1,32.0,44,0,0,0,2
Xperia Z5 Compact,2.0,410.0,2700.0,8,1.5,23.0,5.1,32.0,44,0,0,0,0
Xperia M5 Dual,3.0,300.0,2600.0,8,2.0,21.2,13.0,16.0,44,0,0,0,0
Xperia M5,3.0,240.0,2600.0,8,2.0,21.2,13.0,16.0,44,0,0,0,0
Xperia C5 Ultra Dual,2.0,350.0,2930.0,8,1.7,13.0,13.0,16.0,44,0,0,0,2
Xperia C5 Ultra,2.0,310.0,2930.0,8,1.7,13.0,13.0,16.0,44,0,0,0,2
Xperia Z3+ dual,3.0,420.0,2930.0,8,1.5,20.7,5.1,32.0,44,0,0,0,2
Xperia Z3+,3.0,340.0,2930.0,8,1.5,20.7,5.1,32.0,44,0,0,0,2
Xperia C4 Dual,2.0,270.0,2600.0,8,1.7,13.0,5.0,16.0,44,0,0,0,0
Xperia C4,2.0,220.0,2600.0,8,1.7,13.0,5.0,16.0,44,0,0,0,0
Xperia Z4 Tablet WiFi,3.0,400.0,6000.0,8,1.5,8.1,5.1,32.0,44,0,0,1,1
Xperia Z4 Tablet LTE,3.0,500.0,6000.0,8,1.5,8.1,5.1,32.0,44,0,0,1,1
Xperia E4g,1.0,130.0,2300.0,4,1.5,5.0,2.0,8.0,44,0,0,0,0
Xperia E4g Dual,1.0,150.0,2300.0,4,1.5,5.0,2.0,8.0,44,0,0,0,0
Xperia E4 Dual,1.0,120.0,2300.0,4,1.3,5.0,2.0,8.0,44,0,0,0,0
Xperia E4,1.0,120.0,2300.0,4,1.3,5.0,2.0,8.0,44,0,0,0,0
